"Papusa LOL Surprise Ball - Pets, 7 piese (Seria 3-2B)",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/a/papusa_lol_surprise_ball_-_pets_7_piese_seria_3-2b_3_111.jpg,0,"79.99 RON","LOL Pets Surprise sunt mici figurine cu forma de animalut, dragute, care isi dezvaluie functiile in sapte pasi!  Pentru a le gasi, desprindeti cate un alt strat al sferei, care mai tarziu poate deveni o intreaga colectie de accesorii pentru aceaste figurine dragute. Deschiderea fiecarui strat din cele sapte va ofera o placere incredibila. Este, de asemenea, o surpriza uriasa, deoarece nu stim la inceput ce figurina este ascunsa in minge - o vom stii in ultimul pas!  Colectioneaza-le pe toate cele 35 de mici surprize din aceasta noua gama a seriei a 3-a!",Noriel,Papusi
"Papusa Colectia Lilia - Craiasa cu rochita albastra",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/i/n/int5126_001_papusa_colectia_lilia_-_craiasa_cu_rochita_albastra.jpg,0,"49.99 RON","Lilia iti transforma lumea! Pentru ca nu este doar o papusa, ci eroina unei povesti. Ea vine de departe, dintr-o poveste straveche si fascinanta, plina de magie, de veselie si de incantare. Lumea in care tu si Lilia impartasiti un vis de printesa!  Traieste un vis de printesa! Magie, veselie si incantare!",Noriel,Papusi
"Papusa Barbie Skipper Babysitter Dayli",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/a/papusa_barbie_skipper_babysitter_dayli_2.jpg,0,"79.99 RON","Papusa Skipper urmeaza pasii surorii ei mai mari Barbie si devine bona! Acum joaca este mai interesanta cu noile papusi de la Barbie Babysitter!",Noriel,Papusi
"Papusa Masha si tricicleta Simba",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/a/papusa_masha_si_tricicleta_simba_109302059_2_.jpg,0,"59.99 RON","Papusa Masha este confectionata dintr-un cauciuc moale (fata si corpul), iar hainutele din plus. Simpatica papusa este inspirata din desenele animate ""Masha si Ursuletul"" si vine impreuna cu indragita ei tricicelta. Hai la plimbare cu micuta Masha!  Papusa dispune de articulatii flexibile.",Noriel,Papusi
"Papusa bebelus Maia Plange",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/p/a/papusa_bebelus_maia_plange_int6789_2_.png,0,"149.99 RON","Papusa bebelus Maia Plange  Te intelegi de minune cu micuta Maia... pe limba ei! Chicoteste cand e vesela si plange ca un bebelus adevarat! Apasa pe burtica ei ca sa auzi sunete nostime si da-i apa cu biberonul ca s-o faci sa verse lacrimi: ochii ei sunt prevazuti cu orificii discrete prin care curge apa!  ",Noriel,Papusi
"Set figurina cu accesorii Minnie Disney, Fantasy Fairy W3",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/1/8/185753_001w_set_figurina_cu_accesorii_minnie_disney_fantasy_fairy_w3_1_.jpg,0,"99.99 RON","Minnie este acum atat de fantastica si stralucitoare. Noile papusi Minnie cu accesorii sunt magice, cu noua varianta Minnie Zana.  Fiecare papusa este diferita si contine 2 rochii din material textil si o multime de accesorii, inclusiv fundite, coronite, pantofi, posete si multe altele special create pentru a-i completa tinuta magic de fantastica.   Toate papusile au acum extra sclipici pentru un aspect si mai stralucitor! Toate accesoriile sunt interschimbabile si se potrivesc cu toate papusile Minnie cu accesorii.  Descopera-le si colectioneaza-le pe toate!",Noriel,Papusi
"Bicicleta copii Spiderman 16 inch",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/b/i/bicicleta-copii-spiderman-16-inch.jpg,0,"467.49 RON","Spiderman are superputeri. El se poate catara pe orice cladire, motiv pentru care este unul dintre eroii preferati ai celor mici, care ar vrea si ei sa fie ca el. In plus, are si un costum interesant, astfel ca nimeni nu ii stie reala identitate. Daca cel mic este fan Spiderman, atunci noi iti propunem ca el sa mearga alaturi de eroul lui preferat in parc. Cum? Cu bicicleta pentru copii Spiderman de la TOIMSA. Cu o inaltime de 40 de centimetri, cu roti ajutatoare detasabile, cu ghidon si scaun ajustabile, bicicleta pentru copii Spiderman de la TOIMSA este ideala pentru piticul dumneavoastra, care va merge in noi si noi aventuri alaturi de Spiderman.",Noriel,Outdoor
"Masinuta fara pedale Kiddieland - Mickey Mouse",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/m/a/masinuta-fara-pedale-kiddieland-mickey-mouse_5.jpg,0,"185.09 RON","Masinuta actionata cu picioarele, colorata si decorata cu tema Disney - Mickey Mouse. Ai chiar si lumini de semnalizare, claxon si volan! Invarte cheia in contact, schimba vitezele si asculta sunetele turatiilor motorului.",Noriel,Outdoor
"Tobogan copii Dolu My First Slide",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/t/o/tobogan-copii-dolu-my-first-slide_2.jpg,0,"99.99 RON","      Toboganul poate fi folosit atat in interior, cat si in exterior.     Poate fi pliat si depozitat cu usurinta sub pat sau sub alt corp de mobilier.     Produsul dispune de o stabilitate superioara.     A se folosi sub stricta supraveghere a parintilor sau a unui adult.",Noriel,Outdoor
"Role copii Inline STAMP Minnie Mouse, Marime 30-33",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/r/o/role-copii-inline-stamp-minnie-mouse-marime-30-33_4.jpg,0,"179.99 RON","Sa inceapa distractia pe roti!  Rolele Minnie Mouse reglabile intre marimile 30 - 33 sunt ideale pentru plimbari in parc!",Noriel,Outdoor
"Masinuta cu pedale Dolu, ATV, Albastru",https://noriel.ro/media/catalog/product/cache/ed9f5ebe2a117625f6cd6336daddd764/d/o/dolu8065_001w_masinuta_cu_pedale_dolu_atv_off_road_albastru_1_.jpg,0,"299.99 RON",,Noriel,Outdoor
